Date : 2025-06-10 12:40:08
Directory : /Users/divash/Projects/gharbeti
Total : 120 files,  28192 codes, 883 comments, 1480 blanks, all 30555 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         84 |     13,023 |        588 |      1,168 |     14,779 |
| JSON               |          4 |     12,230 |          0 |          5 |     12,235 |
| JavaScript JSX     |         15 |      2,629 |        136 |        230 |      2,995 |
| Groovy             |          3 |        153 |         71 |         34 |        258 |
| XML                |         10 |         94 |         23 |          6 |        123 |
| Batch              |          1 |         41 |         32 |         22 |         95 |
| Properties         |          2 |         18 |         33 |         14 |         65 |
| JSON with Comments |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        120 |     28,192 |        883 |      1,480 |     30,555 |
| . (Files)                                                                                          |          8 |     12,292 |          2 |         12 |     12,306 |
| Screens                                                                                            |         68 |     13,331 |        567 |      1,131 |     15,029 |
| Screens (Files)                                                                                    |          1 |        196 |          2 |         12 |        210 |
| Screens/AuthScreen                                                                                 |         10 |      1,296 |         18 |        120 |      1,434 |
| Screens/AuthScreen (Files)                                                                         |          5 |        511 |          8 |         42 |        561 |
| Screens/AuthScreen/Tenant                                                                          |          5 |        785 |         10 |         78 |        873 |
| Screens/helper                                                                                     |          3 |        120 |          0 |          8 |        128 |
| Screens/screens                                                                                    |         54 |     11,719 |        547 |        991 |     13,257 |
| Screens/screens/Auth                                                                               |          1 |        188 |          4 |         16 |        208 |
| Screens/screens/Landlord                                                                           |         31 |      7,450 |        235 |        633 |      8,318 |
| Screens/screens/Landlord (Files)                                                                   |         14 |      4,435 |        170 |        372 |      4,977 |
| Screens/screens/Landlord/LandlordProfile                                                           |          2 |        334 |          5 |         30 |        369 |
| Screens/screens/Landlord/Maintenance                                                               |          4 |        787 |         17 |         56 |        860 |
| Screens/screens/Landlord/TenantScreens                                                             |          1 |         92 |         11 |         10 |        113 |
| Screens/screens/Landlord/Tenants                                                                   |          4 |      1,328 |         32 |        122 |      1,482 |
| Screens/screens/Landlord/components                                                                |          6 |        474 |          0 |         43 |        517 |
| Screens/screens/Tenant                                                                             |         22 |      4,081 |        308 |        342 |      4,731 |
| Screens/screens/Tenant (Files)                                                                     |         17 |      3,612 |        299 |        303 |      4,214 |
| Screens/screens/Tenant/settings                                                                    |          5 |        469 |          9 |         39 |        517 |
| Screens/screens/Tenant/settings (Files)                                                            |          1 |        180 |          9 |         14 |        203 |
| Screens/screens/Tenant/settings/components                                                         |          4 |        289 |          0 |         25 |        314 |
| Stack                                                                                              |          3 |        411 |          3 |         19 |        433 |
| android                                                                                            |         16 |        306 |        159 |         76 |        541 |
| android (Files)                                                                                    |          4 |        118 |         68 |         47 |        233 |
| android/app                                                                                        |         11 |        181 |         91 |         28 |        300 |
| android/app (Files)                                                                                |          1 |         87 |         68 |         22 |        177 |
| android/app/src                                                                                    |         10 |         94 |         23 |          6 |        123 |
| android/app/src/debug                                                                              |          1 |          5 |          0 |          3 |          8 |
| android/app/src/main                                                                               |          9 |         89 |         23 |          3 |        115 |
| android/app/src/main (Files)                                                                       |          1 |         32 |          0 |          0 |         32 |
| android/app/src/main/res                                                                           |          8 |         57 |         23 |          3 |         83 |
| android/app/src/main/res/drawable                                                                  |          2 |         18 |         23 |          3 |         44 |
| android/app/src/main/res/mipmap-anydpi-v26                                                         |          2 |         10 |          0 |          0 |         10 |
| android/app/src/main/res/values                                                                    |          3 |         28 |          0 |          0 |         28 |
| android/app/src/main/res/values-night                                                              |          1 |          1 |          0 |          0 |          1 |
| android/gradle                                                                                     |          1 |          7 |          0 |          1 |          8 |
| android/gradle/wrapper                                                                             |          1 |          7 |          0 |          1 |          8 |
| api                                                                                                |          9 |        549 |         44 |         74 |        667 |
| components                                                                                         |          2 |        457 |         11 |         31 |        499 |
| context                                                                                            |          4 |        237 |         36 |         50 |        323 |
| hooks                                                                                              |          9 |        573 |         57 |         81 |        711 |
| navigation                                                                                         |          1 |         36 |          4 |          6 |         46 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/divash/Projects/gharbeti/App.js                                                             | JavaScript         |         30 |          1 |          4 |         35 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/ForgotPassword.js                               | JavaScript         |        117 |          0 |          6 |        123 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/LoginScreen.js                                  | JavaScript         |        108 |          8 |         12 |        128 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/ResetPassword.js                                | JavaScript         |         80 |          0 |          5 |         85 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/SignupScreen.js                                 | JavaScript         |        196 |          0 |         16 |        212 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/InvitationStep.js                        | JavaScript         |        200 |          0 |         16 |        216 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/InvitationStep.jsx                       | JavaScript JSX     |        118 |          0 |         11 |        129 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/PasswordStep.js                          | JavaScript         |        108 |          0 |         15 |        123 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/RulesModal.js                            | JavaScript         |        128 |          6 |         12 |        146 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/TenantLogin.js                           | JavaScript         |        231 |          4 |         24 |        259 |
| /Users/divash/Projects/gharbeti/Screens/AuthScreen/VerificationScreen.js                           | JavaScript         |         10 |          0 |          3 |         13 |
| /Users/divash/Projects/gharbeti/Screens/SplashScreen.js                                            | JavaScript         |        196 |          2 |         12 |        210 |
| /Users/divash/Projects/gharbeti/Screens/helper/CheckUser.js                                        | JavaScript         |         16 |          0 |          3 |         19 |
| /Users/divash/Projects/gharbeti/Screens/helper/const.js                                            | JavaScript         |         32 |          0 |          4 |         36 |
| /Users/divash/Projects/gharbeti/Screens/helper/data.js                                             | JavaScript         |         72 |          0 |          1 |         73 |
| /Users/divash/Projects/gharbeti/Screens/screens/Auth/LoginScreen.jsx                               | JavaScript JSX     |        188 |          4 |         16 |        208 |
| /Users/divash/Projects/gharbeti/Screens/screens/Landlord/AnnouncementAddScreen.js                  | JavaScript         |        405 |          8 |         32 |        445 |
| /Users/divash/Projects/gharbeti/Screens/screens/Landlord/AnnouncementDetails.js                    | JavaScript         |        253 |         17 |         26 |        296 |
| /Users/divash/Projects/gharbeti/Screens/screens/Landlord/AnnouncementList.js                       | JavaScript         |        293 |          4 |         23 |        320 |
